id,product_name,amount,buy_price,buy_date,expiration_date
3287577,banaan,5,20.0,24/06/2023,10/10/2023
1611826,aarbei,5,20.0,24/06/2023,10/10/2022
8533720,aardappel,5,10.0,26/06/2023,10/10/2024
6298559,aardappel,55,10.0,26/06/2023,10/10/2024
5413747,aardappel,55,10.0,26/06/2023,10/10/2021
8268364,peer,6,34.0,26/06/2023,12/12/2034
5283974,appel,6,7.0,26/06/2023,12/12/2023
8210137,appel,6,7.0,26/06/2023,12/12/2023
2470086,appel,6,7.0,26/06/2023,12/12/2023
4957498,appel,6,7.0,26/06/2023,12/12/2023
2722740,appel,6,7.0,26/06/2023,12/12/2023
3472885,appel,6,7.0,26/06/2023,12/12/2023
6679845,appel,6,7.0,26/06/2023,12/12/2023
1800483,appel,6,7.0,26/06/2023,12/12/2023
